,Duration,Signal Run 0,Background Run 0
0,100.0,0.002258885915189164,0.00224264432445883
1,101.0,0.0023310360587543034,0.002296991185836401
2,102.0,0.0023013639217810346,0.0022698177551852064
3,103.0,0.0023725770504339516,0.002349464017499876
4,104.0,0.0022851223310747775,0.002289182728751097
5,105.0,0.0023194795422489378,0.0022676313871821977
6,106.0,0.002237646911933418,0.0022770015356644224
7,107.0,0.0022538885027107254,0.002300739245224877
8,108.0,0.0022916814350109993,0.0023191672039867676
9,109.0,0.0,0.0
10,110.0,0.0,0.0
11,111.0,0.0,0.0
12,112.0,0.0,0.0
13,113.0,0.0,0.0
14,114.0,0.0,0.0
15,115.0,0.0,0.0
16,116.0,0.0,0.0
17,117.0,0.0,0.0
18,118.0,0.0,0.0
19,119.0,0.0,0.0
20,120.0,0.0,0.0
21,121.0,0.0,0.0
22,122.0,0.0,0.0
23,123.0,0.0,0.0
24,124.0,0.0,0.0
25,125.0,0.0,0.0
26,126.0,0.0,0.0
27,127.0,0.0,0.0
28,128.0,0.0,0.0
29,129.0,0.0,0.0
30,130.0,0.0,0.0
31,131.0,0.0,0.0
32,132.0,0.0,0.0
33,133.0,0.0,0.0
34,134.0,0.0,0.0
35,135.0,0.0,0.0
36,136.0,0.0,0.0
37,137.0,0.0,0.0
38,138.0,0.0,0.0
39,139.0,0.0,0.0
40,140.0,0.0,0.0
41,141.0,0.0,0.0
42,142.0,0.0,0.0
43,143.0,0.0,0.0
44,144.0,0.0,0.0
45,145.0,0.0,0.0
46,146.0,0.0,0.0
47,147.0,0.0,0.0
48,148.0,0.0,0.0
49,149.0,0.0,0.0
50,150.0,0.0,0.0
51,151.0,0.0,0.0
52,152.0,0.0,0.0
53,153.0,0.0,0.0
54,154.0,0.0,0.0
55,155.0,0.0,0.0
56,156.0,0.0,0.0
57,157.0,0.0,0.0
58,158.0,0.0,0.0
59,159.0,0.0,0.0
60,160.0,0.0,0.0
61,161.0,0.0,0.0
62,162.0,0.0,0.0
63,163.0,0.0,0.0
64,164.0,0.0,0.0
65,165.0,0.0,0.0
66,166.0,0.0,0.0
67,167.0,0.0,0.0
68,168.0,0.0,0.0
69,169.0,0.0,0.0
70,170.0,0.0,0.0
71,171.0,0.0,0.0
72,172.0,0.0,0.0
73,173.0,0.0,0.0
74,174.0,0.0,0.0
75,175.0,0.0,0.0
76,176.0,0.0,0.0
77,177.0,0.0,0.0
78,178.0,0.0,0.0
79,179.0,0.0,0.0
80,180.0,0.0,0.0
81,181.0,0.0,0.0
82,182.0,0.0,0.0
83,183.0,0.0,0.0
84,184.0,0.0,0.0
85,185.0,0.0,0.0
86,186.0,0.0,0.0
87,187.0,0.0,0.0
88,188.0,0.0,0.0
89,189.0,0.0,0.0
90,190.0,0.0,0.0
91,191.0,0.0,0.0
92,192.0,0.0,0.0
93,193.0,0.0,0.0
94,194.0,0.0,0.0
95,195.0,0.0,0.0
96,196.0,0.0,0.0
97,197.0,0.0,0.0
98,198.0,0.0,0.0
99,199.0,0.0,0.0
100,200.0,0.0,0.0
